product_code;price
7792180004949;11
7792550709351;14.99
7791110003069;11.57
7792550709443;14.99
7795915000094;15.12
7790236001140;29.93
7793890001563;27.04
7790828001800;54.02
7790828001787;54.02
7790828104228;54.02
7790828104198;54.02
7790828104204;54.02
7791274196997;24.3
7506195110171;53.5
7790740502485;50.35
7790740507770;57.11
7792378001712;23.64
7791274196522;50.11
7792143730007;30.02
7791293025537;36
7791293028774;36
77904331;36
77948632;21.77
7794640171376;24.16
7794490630511;24.16
7791274195983;58.32
7702018652372;24.18
70942121842;48.69
7791274087134;73.82
7791274004407;46.82
7791274004414;46.82
7792143700611;29.27
7792143012318;42.66
7896009419270;39.28
7793100120220;13.26
7794640171819;36.7
7791274005121;51.79
7794640171468;44.04
7791274001956;124.2
7791293032375;36
7791293027937;36
7793100141379;63.41
7791274196546;47.41
7791274196447;32.5
7791274196454;32.5
70942303194;49.3
7790773007131;30
7791274005237;25.59
7791274005244;43.09
7791293031699;16.98
7791293031712;16.98
7790828001848;24.3
7790828101555;31.31
7790828001466;14.01
7790828101036;9.3
7790828002609;7.09
7792143710306;34.88
7792143710290;34.88
7792143710313;34.88
7792143710320;34.88
7791274193408;43.73
7791274193415;43.73
7791274193392;43.73
7791274196010;30.46
7791274196003;31.05
7791274196041;30.46
7790990586785;38.56
70330717510;51.84
70330717527;51.84
7790250054764;19.44
7791014001642;44.71
7791014001536;51.03
7791014001635;45.36
7791014001550;44.71
7791274004087;199.8
7791274004094;213.84
7791274004100;253.8
7791274189494;32.94
7791274000607;32.94
7790520012173;47.12
7791290786561;79.18
7791290786554;59.38
7790520009494;63
7791274195938;42.66
7791274195952;59.18
7501056342944;47.8
7501056344030;47.8
7501056343040;47.8
7501056344047;47.8
7891150055025;47.8
7790740505592;50.35
7790828001725;54.02
7790740507732;57.11
7790828001701;54.02
7790828104181;54.02
7790828104150;54.02
7790828104167;54.02
7791274196966;24.3
7506295302322;53.5
7792143740006;52.92
662425027040;43.9
662425026821;22.9
662425026753;43.9
662425026845;22.9
7793970551377;33.33
7793970551322;22.33
7793970135614;85
7794626009228;96.43
7794626009211;96.43
7794626009235;96.43
7794626009242;96.43
7500435005869;92.13
7500435005852;92.13
7500435005845;92.13
7500435005876;92.13
7500435005883;92.13
7790773008350;36
7790773008442;48
7791274195068;37.64
7791274196966;22.5
7506295302322;53.5
7791274195082;37.64
7792143740006;49
662425027040;43.9
662425026821;22.9
662425026753;43.9
662425026845;22.9
7790773008459;49.9
7790773080219;49.9
7500435023320;25.78
7791274197192;37.25
7790773008350;36
7790773008442;48
